iter	RMSE
0	13.39906594
1	13.16212097
2	12.93285398
3	12.72875198
4	12.52986101
5	12.3526419
6	12.18714581
7	12.00873755
8	11.84557383
9	11.63725563
10	11.48436219
11	11.29689984
12	11.1405212
13	10.9827897
14	10.85401767
15	10.69219489
16	10.5396173
17	10.39032978
18	10.24262831
19	10.10606069
20	9.975215041
21	9.840836746
22	9.716954066
23	9.607338919
24	9.530595297
25	9.414911425
26	9.292908557
27	9.179433618
28	9.071578517
29	8.977745033
30	8.859613731
31	8.752746024
32	8.641037279
33	8.551560587
34	8.443551861
35	8.351723419
36	8.271888719
37	8.178608701
38	8.082217304
39	7.988759785
40	7.896568975
41	7.817972757
42	7.729832848
43	7.650378732
44	7.565013519
45	7.505373112
46	7.433239692
47	7.368088137
48	7.305477012
49	7.249303256
50	7.179381836
51	7.108335217
52	7.051204592
53	6.991901759
54	6.932144853
55	6.881015322
56	6.820975816
57	6.765563491
58	6.700900839
59	6.649061569
60	6.595949647
61	6.545484306
62	6.492276727
63	6.449538872
64	6.396244779
65	6.33649752
66	6.291991668
67	6.241451973
68	6.196270797
69	6.1546039
70	6.115880945
71	6.072272746
72	6.031835104
73	5.9896909
74	5.943539736
75	5.908710296
76	5.880587658
77	5.845628134
78	5.81612928
79	5.773685735
80	5.743512914
81	5.707142699
82	5.670613736
83	5.638703287
84	5.606521642
85	5.57446453
86	5.542664898
87	5.502895077
88	5.473507415
89	5.443402099
90	5.412736516
91	5.383334699
92	5.354650944
93	5.328374763
94	5.300203007
95	5.269043024
96	5.248441621
97	5.217539335
98	5.190392141
99	5.162053987
100	5.133317033
101	5.108109091
102	5.082886002
103	5.066581711
104	5.038857655
105	5.015486825
106	4.993873703
107	4.971930385
108	4.949055267
109	4.929224126
110	4.913450851
111	4.897268991
112	4.868071715
113	4.848698045
114	4.826967867
115	4.810639395
116	4.799735646
117	4.779452391
118	4.75875288
119	4.740478249
120	4.719143343
121	4.704003644
122	4.687616071
123	4.67314075
124	4.660417507
125	4.645988921
126	4.632732313
127	4.618722725
128	4.608371679
129	4.59229542
130	4.574011272
131	4.559048362
132	4.54455616
133	4.529568763
134	4.512967376
135	4.496340868
136	4.481160387
137	4.465675527
138	4.453408107
139	4.442764321
140	4.432676945
141	4.415754287
142	4.406920641
143	4.399907224
144	4.382679775
145	4.370086865
146	4.358245756
147	4.343630984
148	4.333406884
149	4.325088529
150	4.304533915
151	4.294165634
152	4.284703007
153	4.269518909
154	4.255520584
155	4.241056843
156	4.22370181
157	4.211634143
158	4.198792925
159	4.190440138
160	4.17753707
161	4.167214432
162	4.154461551
163	4.139644482
164	4.130331728
165	4.120164537
166	4.107076513
167	4.093704181
168	4.085154681
169	4.072974437
170	4.063860101
171	4.053690769
172	4.04449689
173	4.035767066
174	4.027261952
175	4.011412295
176	3.999766926
177	3.987290922
178	3.975945387
179	3.965817876
180	3.955160283
181	3.945202826
182	3.936703471
183	3.928038183
184	3.921683278
185	3.914273256
186	3.907375853
187	3.898341627
188	3.884460521
189	3.87829842
190	3.869109766
191	3.862892744
192	3.85462487
193	3.846183792
194	3.84048808
195	3.833082184
196	3.82394341
197	3.814109482
198	3.806050617
199	3.797755106
200	3.788223578
201	3.781279042
202	3.767017437
203	3.759059654
204	3.750153175
205	3.74244355
206	3.732563896
207	3.725174656
208	3.71643962
209	3.709532046
210	3.698322343
211	3.692272761
212	3.685438205
213	3.680655116
214	3.674834479
215	3.665063733
216	3.657505085
217	3.650769492
218	3.640797462
219	3.633772072
220	3.629223974
221	3.618488453
222	3.608183174
223	3.603351686
224	3.598277592
225	3.588338396
226	3.580867853
227	3.571321272
228	3.565896754
229	3.553378663
230	3.548325579
231	3.539494462
232	3.530526651
233	3.522726894
234	3.517188428
235	3.511883157
236	3.507295041
237	3.500141877
238	3.494022162
239	3.484776793
240	3.476605558
241	3.46842627
242	3.463825056
243	3.459185726
244	3.451085447
245	3.446791498
246	3.434427559
247	3.426663403
248	3.420375975
249	3.41630792
250	3.411914998
251	3.40712965
252	3.402664815
253	3.398336616
254	3.388956277
255	3.385959799
256	3.379166612
257	3.375679106
258	3.371988819
259	3.366690872
260	3.361682604
261	3.358482144
262	3.351089515
263	3.345113175
264	3.337629455
265	3.332881782
266	3.323450689
267	3.320596283
268	3.310440624
269	3.304526559
270	3.296164306
271	3.287292803
272	3.279482421
273	3.274386243
274	3.267758114
275	3.260710605
276	3.256641497
277	3.249046286
278	3.241564121
279	3.234237696
280	3.23127901
281	3.221744134
282	3.219317764
283	3.209122729
284	3.205058767
285	3.199892034
286	3.19315845
287	3.186166064
288	3.179025129
289	3.175136715
290	3.166923456
291	3.163353472
292	3.15792885
293	3.151285537
294	3.148456376
295	3.144669398
296	3.137914051
297	3.131444352
298	3.124043566
299	3.116898914
300	3.114513515
301	3.10626145
302	3.100774655
303	3.090259515
304	3.086099345
305	3.083614811
306	3.07719766
307	3.073092653
308	3.067494809
309	3.060000029
310	3.053324983
311	3.05079239
312	3.044277817
313	3.039411601
314	3.03554183
315	3.031333646
316	3.029313866
317	3.02613019
318	3.021683624
319	3.015355758
320	3.013935782
321	3.010074429
322	3.007783407
323	3.000879941
324	2.994289488
325	2.993263427
326	2.99024118
327	2.985650144
328	2.979633938
329	2.973193699
330	2.968775592
331	2.967133731
332	2.965871218
333	2.957038168
334	2.950677269
335	2.942403964
336	2.936219005
337	2.931877566
338	2.929317399
339	2.923103173
340	2.919379953
341	2.917347196
342	2.915098567
343	2.910610056
344	2.902988612
345	2.900486648
346	2.899474815
347	2.896882502
348	2.888675913
349	2.885842862
350	2.883602483
351	2.877918659
352	2.874391803
353	2.871003134
354	2.86780614
355	2.864148597
356	2.863217192
357	2.85855196
358	2.853514073
359	2.848509904
360	2.842999256
361	2.837120654
362	2.835046972
363	2.827568142
364	2.820429071
365	2.814961335
366	2.810091885
367	2.809428458
368	2.807383595
369	2.804218252
370	2.799189697
371	2.796013196
372	2.794299144
373	2.79313164
374	2.790621524
375	2.786828025
376	2.781788392
377	2.780813767
378	2.779818148
379	2.772976764
380	2.765777817
381	2.760431893
382	2.757963952
383	2.751308664
384	2.750570549
385	2.74507886
386	2.743670319
387	2.738884323
388	2.732450591
389	2.726013898
390	2.720941815
391	2.716871404
392	2.715313959
393	2.714498442
394	2.713096941
395	2.708665332
396	2.704672237
397	2.70248347
398	2.700935467
399	2.696676196
400	2.689528452
401	2.684581943
402	2.68196921
403	2.676834538
404	2.674003924
405	2.669830243
406	2.664141889
407	2.658773299
408	2.655895915
409	2.64971928
410	2.647560329
411	2.644230988
412	2.638648624
413	2.63382951
414	2.630543798
415	2.625952082
416	2.62072204
417	2.61790372
418	2.614148484
419	2.609961906
420	2.605331076
421	2.598093083
422	2.595328059
423	2.591085296
424	2.584429417
425	2.583282926
426	2.582749309
427	2.577072974
428	2.575567071
429	2.57293574
430	2.566955079
431	2.563088665
432	2.557472216
433	2.557029179
434	2.552316292
435	2.547336842
436	2.543545473
437	2.53940701
438	2.535026709
439	2.531231257
440	2.526531608
441	2.52349784
442	2.518018711
443	2.513688232
444	2.508462758
445	2.507305459
446	2.504978094
447	2.499987991
448	2.497052974
449	2.49384525
450	2.490588016
451	2.489673129
452	2.488153749
453	2.485998714
454	2.481392132
455	2.476859752
456	2.473977141
457	2.471068017
458	2.464553785
459	2.462000862
460	2.458973039
461	2.455495706
462	2.45320063
463	2.449471598
464	2.445041911
465	2.443716022
466	2.43460166
467	2.431382109
468	2.426139973
469	2.42217688
470	2.417496831
471	2.4171034
472	2.415263906
473	2.408917013
474	2.405212188
475	2.401004516
476	2.397910139
477	2.394984099
478	2.394055129
479	2.392537991
480	2.388962526
481	2.385211807
482	2.381019829
483	2.380857548
484	2.374293723
485	2.368990747
486	2.366418085
487	2.361267887
488	2.355874197
489	2.351305927
490	2.3483896
491	2.343688178
492	2.338630102
493	2.336221402
494	2.334995659
495	2.330916708
496	2.32714009
497	2.324252037
498	2.319929374
499	2.317034142
500	2.313703313
501	2.307799117
502	2.301706892
503	2.299199538
504	2.298282519
505	2.292718444
506	2.291220091
507	2.290318271
508	2.286385615
509	2.282814114
510	2.278961434
511	2.276439246
512	2.275538714
513	2.272597395
514	2.270365597
515	2.269555321
516	2.266851742
517	2.262547954
518	2.258209881
519	2.255494402
520	2.250603943
521	2.24713058
522	2.245938699
523	2.243106098
524	2.240772533
525	2.237624265
526	2.233703991
527	2.229580281
528	2.227281652
529	2.223051413
530	2.219649307
531	2.214885674
532	2.211434196
533	2.210986277
534	2.206076374
535	2.201766587
536	2.197934862
537	2.194525692
538	2.19138693
539	2.187820341
540	2.184729898
541	2.181576097
542	2.177380389
543	2.175282846
544	2.174681359
545	2.173634822
546	2.170264343
547	2.167922245
548	2.167329632
549	2.164315218
550	2.163064623
551	2.160999471
552	2.158418794
553	2.156830605
554	2.152001342
555	2.14870513
556	2.145442967
557	2.14128767
558	2.137726718
559	2.134160514
560	2.131840614
561	2.131079006
562	2.127393896
563	2.124312896
564	2.121821289
565	2.117158844
566	2.114083614
567	2.113452049
568	2.111274025
569	2.109001851
570	2.107487721
571	2.104283604
572	2.100377074
573	2.100051488
574	2.097209908
575	2.095037551
576	2.093246672
577	2.090786108
578	2.088949545
579	2.088824113
580	2.087364124
581	2.085109348
582	2.081899789
583	2.079779918
584	2.07752871
585	2.075480009
586	2.074499217
587	2.069113229
588	2.065745867
589	2.061249904
590	2.059232672
591	2.053518933
592	2.053384664
593	2.050830466
594	2.047106601
595	2.042449054
596	2.038072778
597	2.034317174
598	2.031643941
599	2.028066008
600	2.026597008
601	2.022690803
602	2.020132549
603	2.020013333
604	2.018875231
605	2.011706196
606	2.009404538
607	2.009178033
608	2.006218587
609	2.00441892
610	2.003397134
611	1.999416614
612	1.998760387
613	1.997669184
614	1.993902769
615	1.991307454
616	1.987747808
617	1.986414088
618	1.986003496
619	1.982499765
620	1.97993535
621	1.979623933
622	1.975393936
623	1.970103376
624	1.967470582
625	1.965860314
626	1.9635383
627	1.958567337
628	1.957242263
629	1.954497908
630	1.951719339
631	1.946681313
632	1.944219755
633	1.941882041
634	1.938425966
635	1.935385237
636	1.935035353
637	1.933005291
638	1.92907623
639	1.925201332
640	1.922929736
641	1.922678612
642	1.919013759
643	1.914540706
644	1.911132471
645	1.9063739
646	1.905304558
647	1.902594489
648	1.899759067
649	1.897559443
650	1.895729695
651	1.893075651
652	1.889720493
653	1.885886205
654	1.882663103
655	1.879653004
656	1.877091043
657	1.875414563
658	1.875162309
659	1.872316832
660	1.868307095
661	1.865033068
662	1.864327648
663	1.864105256
664	1.859317589
665	1.856264884
666	1.854256597
667	1.850485719
668	1.845871231
669	1.84301557
670	1.841218415
671	1.839366274
672	1.836263424
673	1.833343879
674	1.82971898
675	1.82585722
676	1.8231481
677	1.821012737
678	1.816666284
679	1.812502265
680	1.810577486
681	1.808937656
682	1.806025211
683	1.804188832
684	1.802479238
685	1.800017114
686	1.799793703
687	1.797485807
688	1.795714272
689	1.793850444
690	1.792589047
691	1.791120066
692	1.788617255
693	1.786988554
694	1.785261548
695	1.782377057
696	1.779472889
697	1.777596992
698	1.773190366
699	1.771001765
700	1.769124476
701	1.76891042
702	1.767298562
703	1.765131736
704	1.761419395
705	1.75694141
706	1.755252546
707	1.752943979
708	1.751641718
709	1.747533554
710	1.74646617
711	1.745539332
712	1.741316015
713	1.740254386
714	1.738050281
715	1.736371762
716	1.733216018
717	1.730425129
718	1.727988767
719	1.725842133
720	1.72564003
721	1.724054629
722	1.723935085
723	1.721664859
724	1.719914212
725	1.718474197
726	1.715230024
727	1.713545945
728	1.712809109
729	1.710204923
730	1.708290433
731	1.706426721
732	1.703849955
733	1.702687076
734	1.700817802
735	1.700637662
736	1.69891606
737	1.696939923
738	1.694387614
739	1.692033696
740	1.69009163
741	1.687016297
742	1.685107591
743	1.682898839
744	1.682718936
745	1.681350418
746	1.679195518
747	1.676398637
748	1.672387421
749	1.669410892
750	1.666479334
751	1.665846057
752	1.662702727
753	1.66148346
754	1.661300793
755	1.659206683
756	1.657308054
757	1.65574478
758	1.652184515
759	1.650307726
760	1.647450175
761	1.645218339
762	1.642354107
763	1.640530751
764	1.639200467
765	1.63863868
766	1.63653972
767	1.634097368
768	1.633210417
769	1.632973971
770	1.629827031
771	1.628017931
772	1.625429828
773	1.622835568
774	1.62038879
775	1.617943359
776	1.614615544
777	1.612780008
778	1.609407863
779	1.607261552
780	1.603308426
781	1.602992669
782	1.600143322
783	1.599679572
784	1.597427999
785	1.595129589
786	1.593245301
787	1.590174803
788	1.589188226
789	1.587515065
790	1.586969325
791	1.584818401
792	1.583190739
793	1.580753411
794	1.579422524
795	1.576131905
796	1.575805463
797	1.573867086
798	1.571770839
799	1.57060012
800	1.569270594
801	1.567423452
802	1.566870526
803	1.566059629
804	1.563565203
805	1.563023894
806	1.560808634
807	1.558458254
808	1.55462064
809	1.553314574
810	1.551998759
811	1.549303049
812	1.545824449
813	1.545650819
814	1.543181509
815	1.541765159
816	1.539931092
817	1.538586031
818	1.537396999
819	1.537291686
820	1.53524848
821	1.535119662
822	1.533874742
823	1.533719598
824	1.533585862
825	1.529865253
826	1.526989809
827	1.525353255
828	1.521759044
829	1.518697733
830	1.517097005
831	1.516003824
832	1.514785977
833	1.511779721
834	1.50890165
835	1.505976028
836	1.502345145
837	1.500938929
838	1.498812049
839	1.49706318
840	1.49561001
841	1.493854416
842	1.493049113
843	1.492637334
844	1.491408028
845	1.490252584
846	1.487461873
847	1.486145678
848	1.484284313
849	1.481786823
850	1.479395831
851	1.477905483
852	1.477751055
853	1.4762145
854	1.472818019
855	1.471382084
856	1.469380856
857	1.466222398
858	1.464186616
859	1.462657036
860	1.45934342
861	1.456886259
862	1.455393948
863	1.452854753
864	1.45158715
865	1.451439285
866	1.450377026
867	1.450252477
868	1.448692617
869	1.448430558
870	1.447955767
871	1.446419365
872	1.445174721
873	1.44434088
874	1.442165849
875	1.440950952
876	1.439371583
877	1.437602871
878	1.43464308
879	1.433852172
880	1.432419179
881	1.42928375
882	1.429143596
883	1.425796648
884	1.423382961
885	1.421937068
886	1.418475395
887	1.416161623
888	1.414538015
889	1.411327676
890	1.410321688
891	1.407864222
892	1.40569343
893	1.402755664
894	1.402367767
895	1.400862293
896	1.398197075
897	1.396686493
898	1.395039588
899	1.394248251
900	1.393119756
901	1.391396029
