iter	Passed	Remaining
0	146	146490
1	147	73649
2	148	49309
3	149	37141
4	150	29851
5	150	24987
6	151	21522
7	152	18917
8	153	16854
9	153	15234
10	154	13904
11	155	12807
12	156	11860
13	157	11058
14	157	10371
15	158	9767
16	159	9240
17	160	8773
18	161	8349
19	162	7968
20	163	7627
21	164	7313
22	165	7032
23	166	6773
24	167	6514
25	167	6291
26	168	6074
27	169	5881
28	170	5702
29	171	5535
30	172	5379
31	172	5231
32	173	5097
33	174	4971
34	176	4853
35	177	4740
36	178	4638
37	178	4528
38	179	4431
39	180	4338
40	181	4249
41	182	4168
42	184	4095
43	184	4018
44	185	3946
45	186	3876
46	187	3809
47	189	3749
48	190	3690
49	191	3635
50	192	3580
51	193	3530
52	194	3479
53	195	3430
54	196	3383
55	198	3338
56	199	3293
57	200	3251
58	201	3211
59	202	3172
60	203	3133
61	204	3096
62	205	3062
63	207	3030
64	208	3002
65	209	2969
66	210	2934
67	211	2903
68	213	2874
69	214	2845
70	215	2818
71	216	2792
72	217	2767
73	219	2742
74	220	2717
75	221	2697
76	223	2674
77	224	2650
78	225	2628
79	226	2606
80	227	2585
81	228	2563
82	230	2542
83	231	2523
84	232	2503
85	233	2483
86	234	2465
87	236	2447
88	237	2429
89	238	2412
90	239	2397
91	241	2381
92	242	2364
93	243	2349
94	245	2335
95	246	2319
96	247	2300
97	248	2284
98	249	2270
99	250	2255
100	252	2244
101	253	2232
102	254	2219
103	256	2206
104	257	2193
105	258	2179
106	259	2168
107	261	2157
108	262	2145
109	263	2132
110	264	2120
111	266	2110
112	267	2101
113	268	2090
114	270	2079
115	271	2068
116	272	2056
117	273	2046
118	274	2035
119	276	2025
120	277	2015
121	278	2004
122	279	1994
123	280	1984
124	282	1975
125	283	1966
126	284	1956
127	285	1946
128	286	1937
129	288	1929
130	289	1920
131	290	1911
132	291	1902
133	293	1894
134	294	1885
135	295	1877
136	297	1872
137	298	1864
138	299	1856
139	300	1847
140	302	1839
141	303	1832
142	304	1824
143	305	1815
144	306	1807
145	307	1799
146	308	1791
147	309	1784
148	311	1776
149	312	1770
150	313	1763
151	314	1755
152	315	1748
153	316	1741
154	318	1734
155	319	1728
156	320	1721
157	321	1714
158	322	1707
159	324	1701
160	325	1695
161	326	1688
162	327	1683
163	328	1676
164	330	1670
165	331	1664
166	332	1658
167	333	1651
168	334	1645
169	335	1639
170	336	1633
171	337	1627
172	339	1621
173	340	1614
174	341	1609
175	342	1604
176	343	1599
177	345	1593
178	346	1588
179	347	1582
180	348	1577
181	349	1571
182	350	1566
183	351	1560
184	353	1555
185	354	1549
186	355	1544
187	356	1539
188	357	1534
189	358	1529
190	359	1524
191	361	1519
192	362	1515
193	363	1510
194	364	1506
195	366	1502
196	367	1498
197	368	1493
198	369	1488
199	371	1484
200	372	1481
201	374	1477
202	375	1473
203	376	1468
204	377	1464
205	378	1459
206	379	1455
207	380	1450
208	382	1446
209	383	1441
210	384	1437
211	385	1432
212	386	1429
213	388	1425
214	389	1420
215	390	1416
216	391	1412
217	392	1407
218	393	1404
219	395	1401
220	396	1397
221	397	1393
222	398	1389
223	400	1385
224	401	1383
225	402	1379
226	404	1375
227	405	1371
228	406	1367
229	407	1363
230	408	1359
231	409	1354
232	410	1350
233	411	1346
234	412	1342
235	413	1338
236	414	1334
237	415	1330
238	416	1327
239	418	1324
240	419	1320
241	420	1316
242	421	1312
243	422	1308
244	423	1305
245	424	1301
246	425	1297
247	426	1294
248	427	1290
249	428	1286
250	429	1282
251	430	1279
252	432	1275
253	433	1272
254	434	1268
255	435	1264
256	436	1261
257	437	1258
258	438	1255
259	439	1251
260	440	1248
261	442	1245
262	443	1242
263	444	1238
264	445	1235
265	446	1233
266	448	1230
267	449	1227
268	450	1224
269	451	1221
270	452	1218
271	454	1215
272	455	1212
273	456	1209
274	457	1206
275	458	1203
276	460	1200
277	461	1198
278	462	1195
279	463	1192
280	464	1189
281	466	1186
282	467	1183
283	468	1181
284	469	1177
285	470	1175
286	471	1172
287	473	1169
288	474	1166
289	475	1163
290	476	1161
291	477	1158
292	478	1155
293	479	1152
294	481	1149
295	482	1146
296	483	1143
297	484	1140
298	485	1138
299	486	1135
300	487	1132
301	488	1130
302	490	1127
303	491	1125
304	492	1122
305	493	1120
306	494	1117
307	496	1114
308	497	1112
309	498	1109
310	499	1106
311	500	1104
312	501	1101
313	503	1099
314	504	1096
315	505	1093
316	506	1091
317	507	1088
318	508	1086
319	510	1083
320	511	1081
321	512	1078
322	513	1076
323	514	1073
324	515	1071
325	516	1068
326	518	1066
327	519	1063
328	520	1061
329	521	1059
330	522	1056
331	524	1054
332	525	1051
333	526	1049
334	527	1047
335	528	1044
336	529	1042
337	530	1039
338	532	1037
339	533	1035
340	534	1033
341	536	1031
342	537	1030
343	539	1027
344	540	1025
345	541	1023
346	542	1020
347	543	1018
348	545	1016
349	546	1014
350	547	1012
351	548	1009
352	549	1007
353	550	1005
354	552	1003
355	553	1002
356	555	999
357	556	997
358	557	995
359	559	993
360	560	991
361	561	989
362	562	987
363	563	985
364	564	982
365	566	981
366	568	980
367	569	978
368	570	975
369	571	973
370	572	971
371	574	969
372	575	966
373	576	964
374	577	962
375	578	960
376	579	958
377	581	956
378	582	954
379	583	952
380	585	950
381	586	948
382	587	946
383	588	944
384	590	942
385	591	940
386	592	938
387	593	936
388	594	934
389	595	932
390	597	930
391	599	929
392	600	926
393	601	924
394	602	922
395	603	920
396	604	918
397	605	916
398	607	914
399	608	912
400	609	910
401	611	909
402	613	908
403	614	906
404	615	904
405	616	902
406	618	900
407	619	898
408	620	896
409	621	894
410	622	892
411	623	890
