iter	Passed	Remaining
0	143	143761
1	145	72383
2	146	48542
3	147	36645
4	148	29508
5	149	24785
6	151	21465
7	152	18925
8	153	16940
9	155	15353
10	156	14044
11	157	12960
12	158	12057
13	160	11269
14	161	10583
15	162	9982
16	163	9456
17	165	9003
18	166	8597
19	167	8221
20	169	7886
21	170	7588
22	172	7309
23	173	7056
24	174	6824
25	176	6606
26	177	6410
27	180	6277
28	182	6127
29	184	5970
30	186	5824
31	187	5682
32	189	5545
33	190	5418
34	192	5296
35	193	5189
36	195	5084
37	197	4990
38	198	4895
39	200	4804
40	201	4717
41	203	4631
42	204	4550
43	205	4473
44	207	4400
45	209	4344
46	211	4283
47	212	4221
48	214	4162
49	215	4102
50	217	4048
51	219	3992
52	220	3941
53	222	3895
54	225	3871
55	227	3830
56	229	3790
57	230	3748
58	232	3710
59	234	3671
60	236	3632
61	237	3593
62	239	3562
63	242	3539
64	244	3510
65	246	3481
66	247	3450
67	249	3418
68	250	3386
69	252	3355
70	254	3334
71	256	3311
72	258	3285
73	260	3256
74	262	3232
75	263	3207
76	265	3180
77	266	3155
78	269	3140
79	271	3127
80	273	3106
81	275	3087
82	276	3056
83	278	3035
84	280	3015
85	281	2996
86	283	2978
87	285	2963
88	288	2949
89	290	2934
90	291	2916
91	293	2899
92	295	2883
93	297	2867
94	300	2858
95	301	2842
96	303	2826
97	305	2812
98	307	2798
99	309	2785
100	311	2771
101	313	2757
102	315	2745
103	317	2732
104	319	2719
105	320	2705
106	322	2690
107	323	2675
108	325	2660
109	327	2646
110	328	2632
111	330	2621
112	332	2608
113	334	2596
114	335	2583
115	337	2569
116	338	2552
117	339	2540
118	341	2526
119	342	2514
120	345	2507
121	346	2496
122	348	2486
123	350	2476
124	352	2466
125	353	2455
126	355	2442
127	357	2432
128	358	2422
129	361	2416
130	363	2410
131	365	2401
132	366	2392
133	368	2382
134	370	2372
135	372	2363
136	374	2356
137	376	2351
138	378	2343
139	380	2336
140	382	2330
141	383	2319
142	385	2311
143	387	2304
144	390	2302
145	392	2296
146	394	2290
147	396	2282
148	398	2275
149	400	2268
150	402	2260
151	403	2252
152	405	2247
153	408	2246
154	410	2240
155	412	2233
156	414	2226
157	416	2220
158	418	2213
159	421	2210
160	422	2200
161	424	2196
162	426	2189
163	428	2183
164	430	2176
165	432	2171
166	434	2166
167	436	2163
168	439	2162
169	442	2158
170	444	2153
171	446	2148
172	448	2143
173	450	2138
174	452	2133
175	454	2127
176	456	2121
177	458	2115
178	459	2109
